scraped_at,created_at,username,comment,likes
2025-12-10T14:28:01,2025-12-07T20:43:56,peniikmat_senja,"Katakan Anjing, dan lanjutkan hidupmu 🙌",0
2025-12-10T14:28:01,2025-12-07T20:42:45,garu.daball,Bahlul emang beda pemikiran nya🙌,0
2025-12-10T14:28:01,2025-12-07T20:42:33,argamsetiawan,"udah buruk rupa, buruk akhlak pula",0
2025-12-10T14:28:01,2025-12-07T20:41:32,panduwinata_123,"Bahlil coba deh Loe ngocok pakai minyak tawon, habis itu Loe cuci muka sama mintak tawon",0
2025-12-10T14:28:01,2025-12-07T20:41:11,maul_yusf,"Demokrasi di hilangkan sedikit demi sedikit, lama-lama diganti jadi negara FEODAL😂",1
2025-12-10T14:28:01,2025-12-07T20:40:48,manyogikk,Enak banget njing,0
2025-12-10T14:28:01,2025-12-07T20:40:37,r0hidayat,Agar tidak bertele-tele Rusaknya begitu kan... Biar langsung hancur,0
2025-12-10T14:28:01,2025-12-07T20:40:33,muhammad_rifani_48,Bangsat bahlil kita adu bacokk,0
2025-12-10T14:28:01,2025-12-07T20:40:16,baby4791406,Si ethanol 😂😂,0
2025-12-10T14:28:01,2025-12-07T20:39:00,verdict098,Emang gaada otak ini tung tung sahur ya,0
2025-12-10T14:28:01,2025-12-07T20:38:53,asep28supriyadi,Gmna kalau rakyat bisa pecat mentri dan dpr. Jangan bertele tele,0
2025-12-10T14:28:01,2025-12-07T20:38:22,aiinii.riinii69,Makin bahlul Aja Lu @bahlillahadalia,0
2025-12-10T14:28:01,2025-12-07T20:37:58,aeniy_cutte,Share laah rumah kediaman opeet...,0
2025-12-10T14:28:01,2025-12-07T20:37:54,irfanfajar.satria,Manusia ****🖕💩,0
2025-12-10T14:28:01,2025-12-07T20:36:49,sandgpt_,Lu berani nyoba” kyk jmn orba ternyata. Silahkan saja,0
2025-12-10T14:28:01,2025-12-07T20:36:40,mifthh.fdillah,"Klo smpe seluruh rakyat marah dan memberontak dri pemerintah, apakah akan ada perang dalam negri? (Cuma pertanyaan)",0
2025-12-10T14:28:01,2025-12-07T20:36:14,daraa_aja67,Santet kah/ apa geram bener gue,0
2025-12-10T14:28:01,2025-12-07T20:36:12,abullahmasud,Iblis jahannam ini kapan tobatnya ya Allah,0
2025-12-10T14:28:01,2025-12-07T20:35:47,daraa_aja67,Knp ga yb dimatii aja itu orngy sewa psikopat kek/ apa😂,0
2025-12-10T14:28:01,2025-12-07T20:35:18,profox21,Bajingan tengik,0
2025-12-10T14:28:01,2025-12-07T20:34:33,yudaimadara,Iy biar kenyang ketua partai dan anggotanya kan 🤣,0
2025-12-10T14:28:01,2025-12-07T20:34:30,rubybaker13,Gak suwe koyok nepal negoro iki...😂😂,0
2025-12-10T14:28:01,2025-12-07T20:34:29,muhammadkhairumarwiragung,Gadaa yg milih sih gtuu 😂😂,0
2025-12-10T14:28:01,2025-12-07T20:34:24,derdh_putra,Asu,0
